06:00,0.15
06:30,0.09
07:00,1.7
07:30,3.0
08:00,6
08:30,4
09:00,1.5
09:30,0.37
10:00,0.67
10:30,0.27
11:00,0.77
11:30,0.67
12:00,0.17
12:30,1
13:00,0.37
13:30,0.77
14:00,0.67
14:30,0.47
15:00,0.97
15:30,0.87
16:00,0.37
16:30,0.97
17:00,1
17:30,1.2
18:00,1.84
18:30,3.79
19:00,7
19:30,5.34
20:00,1.97
20:30,1.77
21:00,1.97
21:30,0.37
22:00,0.57
22:30,0.27
23:00,0.17
23:30,0.67
00:00,0.97
00:30,0.77
01:00,0.85
01:30,0.65
02:00,0.63
02:30,0.53
03:00,0.3
03:30,0.2
04:00,0.2
04:30,0.6
05:00,0.4
05:30,0.3
